level,where,message
NOTE,jp,3 khoảng trống lịch >7 ngày
NOTE,us 1970-1979,"tự tương quan bậc 1 = 0.249, cao hơn bình thường"
NOTE,jp,"eq_tr của JST là chỉ số khác (tương quan 0.69), không dùng kiểm chứng được; chỉ eq_dp được tiêu thụ và nó đã có kiểm riêng"
PROBLEM,de,đoạn backcast mang -0.15%/năm cổ tức còn đoạn chính thức +3.02%/năm — chuỗi trước 1988 THIẾU CỔ TỨC (sửa ở research-expanding-v9-2.toml)
NOTE,de,backcast DAX khớp OECD ngang đoạn chính thức (chênh 0.0068)
NOTE,de cash,413 phiên liên tiếp cùng một lãi suất
NOTE,jp cash,chỉ đổi 6.0 lần/năm; với Nhật đây là lãi suất bị ghim gần 0 suốt 2000-2023 chứ không phải chuỗi đóng băng
NOTE,jp cash,740 phiên liên tiếp cùng một lãi suất
PROBLEM,jp cash,thấp hơn JST 2.0 điểm/năm suốt 1970-1989 và 0.7 điểm trong 1990-1999. Không tách bạch được với phần cổ phiếu: hai nguồn cùng cỡ (~0.2 điểm mỗi bên) mà tổng khoảng lệch chỉ 0.245 điểm/năm
NOTE,jp,"phép dựng lại trôi -0.048 điểm/năm trên 32 năm so với mốc gốc chính thức — nhỏ, nhưng bản chính thức có sẵn từ 1979-12-28 và ta mới chỉ dùng từ 2011-12-19"
